latency,type,valid,rotation,distance,block
536.8034735736146,body,1,153,9,0
538.5138940908655,object,1,27,23,0
540.457359636348,body,1,175,10,0
542.0787464125024,object,1,4,79,0
544.0669386800146,body,1,18,6,0
545.932533614774,body,1,178,4,0
547.8094693812454,object,1,75,3,0
549.5086567675899,body,1,5,5,0
551.5188233934023,body,1,13,14,0
553.2402011395607,body,1,32,9,0
555.0172372365923,face,1,4,1,0
556.7165780241048,body,0,96,2,0
558.4044291280443,body,0,1,2,0
560.2258099444443,object,1,83,73,0
562.2026579803351,face,1,4,3,0
563.7354668184998,object,1,7,6,0
565.6456524744717,object,1,178,7,0
567.6445733691653,object,1,62,21,0
569.5659882560285,face,1,12,4,0
571.3429642524861,object,0,7,40,0
573.0198345781682,body,1,12,4,0
574.7856372444076,face,1,101,3,0
576.6959393010475,object,1,15,24,0
578.6837855661724,face,1,73,4,0
580.5162829125766,body,1,32,9,0
582.4710154384957,face,1,37,8,0
584.0813821851334,body,1,84,2,0
586.047305292348,object,1,104,48,0
587.9352187878976,body,1,167,13,0
589.6232108436379,object,1,51,33,0
591.4001463399036,face,1,73,4,0
593.2103055253538,face,1,114,2,0
595.0651160325069,body,1,72,28,0
596.9975317483768,object,1,16,14,0
598.6522919148556,body,1,2,5,0
600.673656871295,face,0,85,1,0
602.3616115268669,face,1,80,1,0
604.3273659329279,object,1,108,8,0
606.05997565914,body,0,9,2,0
607.7036881961249,face,1,85,1,0
609.5695142325276,face,1,9,6,0
611.45730262711,object,1,20,7,0
613.3676555840211,face,1,94,1,0
615.3444213194016,body,1,66,8,0
617.0880690259946,body,1,166,5,0
618.842791662275,object,1,175,21,0
620.7418697880785,body,1,10,9,0
622.54108604473,face,1,0,6,0
624.0847589112091,object,1,136,5,0
626.039363187112,body,0,9,2,0
627.6164362440177,body,1,140,9,0
629.459981119915,body,1,54,5,0
631.470383496795,body,1,6,10,0
633.2471280917234,face,1,64,1,0
634.9129107875051,face,1,32,5,0
636.5455721948529,face,1,114,2,0
638.4668599805154,face,1,10,3,0
640.3217057879374,face,1,43,5,0
642.0985850837751,face,1,54,1,0
644.0198048691382,face,1,11,4,0
645.9634095156798,object,0,57,1,0
647.4960026522022,object,1,27,23,0
649.3063596392894,body,1,103,1,0
650.9944028953032,body,1,4,13,0
652.7602305616165,object,1,49,7,0
654.7370944977447,object,0,10,43,0
656.6362225732155,object,0,167,13,0
658.2243560597126,object,1,177,9,0
660.0013833567937,face,1,5,2,0
661.9224958413397,body,1,165,6,0
663.6106366980821,face,1,112,1,0
665.3210574153345,face,1,24,4,0
666.8870735428063,body,1,93,1,0
668.7971214976133,face,1,15,2,0
670.5185177439271,object,1,129,2,0
672.2843442102312,body,1,72,28,0
673.8391246066603,face,1,26,4,0
675.4830244448531,face,1,9,6,0
677.4708612100076,object,1,75,4,0
679.3588732060743,face,1,8,3,0
681.1026716630877,object,0,135,45,0
682.9348773072707,face,1,13,4,0
684.5008587344637,face,1,14,2,0
686.3999387602817,body,0,179,9,0
688.3214533476712,object,1,37,27,0
690.3204478430416,face,1,54,4,0
692.0195520288689,face,1,93,1,0
693.8187072851724,face,1,10,3,0
695.7399927709193,body,1,132,3,0
697.2728203092265,face,1,8,3,0
698.8054391461774,object,1,75,4,0
700.5823374421598,face,1,53,1,0
702.3036451877852,face,1,31,6,0
703.9028289533017,face,1,14,3,0
705.7798064200906,object,1,152,6,0
707.5122544959158,object,1,76,4,0
709.2114780826523,face,1,37,3,0
711.2327325382503,object,1,14,80,0
713.0874411446275,face,1,2,2,0
714.7756445018604,object,1,93,13,0
716.7968414572533,object,1,124,14,0
718.7958079523087,face,1,19,3,0
720.8061362794542,face,1,13,1,0
722.5941735056258,face,1,26,4,0
724.2266868118604,object,1,54,72,0
725.8369754580053,face,1,7,3,0
727.8582357137784,body,1,174,6,0
729.7464775608678,body,1,153,9,0
731.3123108868167,object,1,104,48,0
733.0559958938102,body,1,22,11,0
734.9328618596337,face,1,70,6,0
736.6873527942662,object,1,82,12,0
738.6643380310852,face,1,37,8,0
740.5637186591921,body,1,140,9,0
742.3403771534649,object,1,24,8,0
744.1396306103998,face,1,2,2,0
745.8054155063146,object,1,58,10,0
747.6823955730069,body,1,179,5,0
749.5703749690438,object,1,86,14,0
751.391784885549,face,1,4,3,0
753.413011590339,object,1,108,8,0
755.0567531273118,body,1,5,1,0
756.833685223668,face,1,53,6,0
758.5439180394897,body,0,65,2,0
760.1097336655366,body,1,13,11,0
761.6648181640485,object,1,75,1,0
763.4084485705098,face,1,111,2,0
765.0407763754338,body,1,18,11,0
766.8289897029463,face,1,105,1,0
768.5502322481916,face,1,113,2,0
770.3271847444703,face,1,4,2,0
772.0930425110273,body,1,9,4,0
773.9144600275758,face,1,8,1,0
775.902375393227,object,1,24,16,0
777.8015782692528,object,1,57,6,0
779.7451389153575,body,1,0,2,1
1137.2661368028348,object,1,164,8,1
1138.798684439127,object,1,62,21,1
1140.4979578261264,body,1,2,5,1
1142.041628592604,face,1,8,1,1
1143.7852058480348,face,1,14,2,1
1145.37332903457,body,1,6,10,1
1147.272489060997,body,1,11,1,1
1148.9606021175423,object,1,115,6,1
1150.904124963461,body,1,91,1,1
1152.7921658599807,face,1,83,2,1
1154.8023309857817,body,1,62,2,1
1156.8234649405786,face,1,31,6,1
1158.7670045866253,body,1,18,11,1
1160.7328004930023,object,1,93,13,1
1162.6097092591517,face,1,70,6,1
1164.2089211755956,face,1,14,2,1
1165.919317992666,body,1,141,2,1
1167.5964979205892,face,1,24,4,1
1169.5508276435576,face,1,72,3,1
1171.3388534696423,body,1,93,1,1
1173.1492346567975,face,1,5,5,1
1174.9260650523793,body,1,18,6,1
1176.7807838587178,object,1,175,21,1
1178.5466778255359,object,0,59,5,1
1180.4013528315409,body,0,22,5,1
1182.0894713882444,object,0,15,24,1
1183.7886979748873,body,0,9,2,1
1185.5655507706397,body,1,20,7,1
1187.4981200876791,body,1,140,9,1
1189.3858574818878,object,1,62,13,1
1191.3962031089322,object,1,104,48,1
1193.0064555042045,body,1,175,7,1
1194.5947873923287,body,1,5,1,1
1196.1383822582138,face,1,2,2,1
1197.8487630751624,body,1,27,6,1
1199.5700198205159,face,1,12,2,1
1201.3691378764343,face,1,55,5,1
1202.9352243043104,object,1,34,7,1
1204.556582880352,object,1,82,12,1
1206.4002134569018,body,1,5,5,1
1208.4214488124708,body,0,62,2,1
1210.1428327586764,object,1,62,21,1
1211.8753564350773,face,1,7,3,1
1213.5301494018058,object,1,177,9,1
1215.1630300106044,body,1,22,11,1
1217.017528615499,face,1,2,2,1
1218.9165419900964,body,1,10,9,1
1220.771168295847,object,1,59,27,1
1222.4037819028308,object,1,108,11,1
1224.1807113990653,body,1,77,4,1
1226.013331346272,face,1,31,6,1
1227.62349289158,object,1,108,11,1
1229.5227205186384,object,1,167,13,1
1231.4217414440063,object,1,53,6,1
1233.3432733315276,face,1,54,3,1
1235.1978242368205,object,1,16,14,1
1237.1968942327658,face,1,64,1,1
1239.218274189203,object,1,34,7,1
1241.1839029943076,body,1,72,28,1
1242.849693039534,face,1,112,1,1
1244.6045253766497,body,1,128,4,1
1246.5924334422307,object,1,171,9,1
1248.3804421681853,face,1,32,5,1
1249.9796691847441,body,1,175,10,1
1251.5790926025657,object,1,135,45,1
1253.3781186580018,body,0,9,2,1
1255.1550503543695,body,0,1,2,1
1256.7321013111068,object,0,59,5,1
1258.6088797763805,body,0,15,2,1
1260.486035644295,object,1,89,6,1
1262.3738748392643,body,0,0,2,1
1263.9177614072687,body,0,133,3,1
1265.6834185722837,face,1,9,4,1
1267.2717155095306,object,1,24,8,1
1268.8488253666,face,1,80,1,1
1270.4922728016973,face,1,1,3,1
1272.0803976882307,body,1,66,8,1
1273.6241626554256,body,0,179,5,1
1275.3012157823832,body,1,13,14,1
1277.144700057921,object,1,27,23,1
1278.732975845618,face,1,53,6,1
1280.3877370121045,object,1,54,72,1
1282.0867850975046,body,1,165,6,1
1283.7860469844163,object,1,104,48,1
1285.7406546601123,face,1,112,1,1
1287.4510896774736,face,1,13,4,1
1289.1834885529242,object,1,3,17,1
1290.9605152992735,body,1,62,6,1
1292.515341895938,face,1,10,3,1
1294.2367736425076,object,1,60,9,1
1296.235684337371,face,1,15,2,1
1297.90166033461,face,1,4,1,1
1299.900716830336,face,1,67,4,1
1301.8221968175785,body,1,113,6,1
1303.8210922121943,object,1,152,6,1
1305.4759008790425,object,1,84,19,1
1307.1862888960313,object,1,164,8,1
1308.852153892556,face,1,37,3,1
1310.562388008504,body,1,54,5,1
1312.228356505686,body,1,153,9,1
1313.8831229720963,body,1,178,4,1
1315.7933271772636,body,1,22,5,1
1317.470229803308,face,1,58,5,1
1319.1695280905114,object,1,7,40,1
1320.8130970262864,object,1,49,7,1
1322.8342971815873,body,1,9,4,1
1324.5557793285552,body,1,10,9,1
1326.1553074472904,face,1,43,5,1
1327.9764154615987,object,1,166,5,1
1329.8422262978856,face,1,54,3,1
1331.4414394143387,object,1,83,82,1
1333.2849983904453,body,1,0,4,1
1334.9177625983575,body,1,18,6,1
1336.7057875245519,object,1,4,79,1
1338.2604474201653,body,1,167,13,1
1339.915251036262,body,1,166,5,1
1341.6255978528352,body,1,113,9,1
1343.4026220497763,body,1,51,9,1
1345.3238610352855,object,1,177,9,1
1347.0008561618015,body,1,37,11,1
1348.6555788279948,object,1,116,7,1
1350.6768682839756,face,1,8,3,1
1352.6427649910038,body,1,113,9,1
1354.2418986068515,face,1,53,1,1
1356.0078126737062,face,1,19,3,1
1358.0179273992399,body,1,132,3,1
1359.9501933140855,object,1,76,4,1
1361.7940621923335,object,1,4,79,1
1363.8152241966163,body,1,9,3,1
1365.5586782018509,face,1,67,4,1
1367.5688516277005,face,1,64,1,1
1369.356862053668,face,1,4,2,1
1371.2893798704317,face,1,37,3,1
